timestamp,Above 4.120
2026-03-30T15:00:00Z,52.18
2026-03-30T16:00:00Z,46.83
2026-03-30T17:00:00Z,53.28
2026-03-30T18:00:00Z,29.80
2026-03-30T19:00:00Z,32.48
2026-03-30T20:00:00Z,57.58
2026-03-30T21:00:00Z,56.50
2026-03-30T22:00:00Z,59.00
2026-03-30T23:00:00Z,58.14
2026-03-31T00:00:00Z,40.00
2026-03-31T01:00:00Z,41.00
2026-03-31T02:00:00Z,39.79
2026-03-31T04:00:00Z,70.00
2026-03-31T05:00:00Z,58.00
2026-03-31T07:00:00Z,55.20
2026-03-31T08:00:00Z,58.30
2026-03-31T09:00:00Z,70.00
2026-03-31T12:00:00Z,66.35
2026-03-31T13:00:00Z,67.68
2026-03-31T14:00:00Z,60.07
2026-03-31T15:00:00Z,61.47
2026-03-31T16:00:00Z,51.53
2026-03-31T17:00:00Z,45.91
2026-03-31T18:00:00Z,58.01
2026-03-31T19:00:00Z,65.36
2026-03-31T20:00:00Z,63.98
2026-03-31T21:00:00Z,55.87
2026-03-31T22:00:00Z,66.59
2026-03-31T23:00:00Z,70.60
2026-04-01T00:00:00Z,61.51
2026-04-01T01:00:00Z,70.01
2026-04-01T02:00:00Z,70.44
2026-04-01T03:00:00Z,68.00
2026-04-01T04:00:00Z,69.88
2026-04-01T05:00:00Z,72.20
2026-04-01T06:00:00Z,81.29
2026-04-01T07:00:00Z,76.71
2026-04-01T08:00:00Z,62.92
2026-04-01T09:00:00Z,65.63
2026-04-01T10:00:00Z,74.96
2026-04-01T11:00:00Z,69.21
2026-04-01T12:00:00Z,68.53
2026-04-01T13:00:00Z,71.98
2026-04-01T14:00:00Z,75.00
2026-04-01T15:00:00Z,74.46
2026-04-01T16:00:00Z,72.61
2026-04-01T17:00:00Z,68.72
2026-04-01T18:00:00Z,72.68
2026-04-01T19:00:00Z,63.68
2026-04-01T20:00:00Z,59.21
2026-04-01T21:00:00Z,56.47
2026-04-01T22:00:00Z,56.44
2026-04-01T23:00:00Z,55.15
2026-04-02T00:00:00Z,56.52
2026-04-02T01:00:00Z,50.97
2026-04-02T02:00:00Z,50.67
2026-04-02T03:00:00Z,46.50
2026-04-02T04:00:00Z,60.20
2026-04-02T05:00:00Z,67.49
2026-04-02T06:00:00Z,69.58
2026-04-02T07:00:00Z,66.98
2026-04-02T11:00:00Z,78.81
2026-04-02T12:00:00Z,77.81
2026-04-02T13:00:00Z,81.05
2026-04-02T14:00:00Z,81.66
2026-04-02T15:00:00Z,80.21
2026-04-02T16:00:00Z,84.80
2026-04-02T17:00:00Z,81.54
2026-04-02T18:00:00Z,83.73
2026-04-02T19:00:00Z,80.65
2026-04-02T20:00:00Z,87.65
2026-04-02T21:00:00Z,83.26
2026-04-02T22:00:00Z,90.57
2026-04-02T23:00:00Z,89.89
2026-04-03T00:00:00Z,85.53
2026-04-03T01:00:00Z,85.51
2026-04-03T02:00:00Z,87.40
2026-04-03T03:00:00Z,87.60
2026-04-03T04:00:00Z,83.00
2026-04-03T05:00:00Z,92.46
2026-04-03T06:00:00Z,88.55
2026-04-03T07:00:00Z,83.46
2026-04-03T08:00:00Z,85.00
2026-04-03T10:00:00Z,83.52
2026-04-03T11:00:00Z,81.93
2026-04-03T12:00:00Z,82.61
2026-04-03T13:00:00Z,82.58
2026-04-03T14:00:00Z,83.52
2026-04-03T15:00:00Z,85.68
2026-04-03T16:00:00Z,86.81
2026-04-03T17:00:00Z,83.21
2026-04-03T18:00:00Z,81.94
2026-04-03T19:00:00Z,83.40
2026-04-03T20:00:00Z,77.91
2026-04-03T21:00:00Z,72.85
2026-04-03T22:00:00Z,78.51
2026-04-03T23:00:00Z,84.47
2026-04-04T00:00:00Z,77.31
2026-04-04T01:00:00Z,73.99
2026-04-04T02:00:00Z,77.71
2026-04-04T03:00:00Z,79.40
2026-04-04T04:00:00Z,85.36
2026-04-04T05:00:00Z,86.92
2026-04-04T06:00:00Z,75.46
2026-04-04T07:00:00Z,83.90
2026-04-04T08:00:00Z,83.57
2026-04-04T09:00:00Z,83.47
2026-04-04T10:00:00Z,89.00
2026-04-04T11:00:00Z,84.07
2026-04-04T12:00:00Z,84.50
2026-04-04T13:00:00Z,82.22
2026-04-04T14:00:00Z,80.20
2026-04-04T15:00:00Z,81.05
2026-04-04T16:00:00Z,81.54
2026-04-04T17:00:00Z,79.93
2026-04-04T18:00:00Z,83.43
2026-04-04T19:00:00Z,79.09
2026-04-04T20:00:00Z,78.40
2026-04-04T21:00:00Z,71.48
2026-04-04T22:00:00Z,68.65
2026-04-04T23:00:00Z,73.06
2026-04-05T00:00:00Z,70.17
2026-04-05T01:00:00Z,68.36
2026-04-05T02:00:00Z,64.40
2026-04-05T03:00:00Z,65.80
2026-04-05T04:00:00Z,57.95
2026-04-05T05:00:00Z,64.08
2026-04-05T06:00:00Z,61.84
