timestamp,yes_price
2026-04-01 01:00:00+00:00,0.119
2026-04-01 13:00:00+00:00,0.1307
2026-04-02 01:00:00+00:00,0.1349
2026-04-02 13:00:00+00:00,0.1425
2026-04-03 01:00:00+00:00,0.1562
2026-04-03 13:00:00+00:00,0.1654
2026-04-04 01:00:00+00:00,0.169
2026-04-04 13:00:00+00:00,0.1588
2026-04-05 01:00:00+00:00,0.16
2026-04-05 13:00:00+00:00,0.1496
2026-04-06 01:00:00+00:00,0.16
2026-04-06 13:00:00+00:00,0.159
2026-04-07 01:00:00+00:00,0.1623
2026-04-07 13:00:00+00:00,0.1658
2026-04-08 01:00:00+00:00,0.16
2026-04-08 13:00:00+00:00,0.1695
2026-04-09 01:00:00+00:00,0.164
2026-04-09 13:00:00+00:00,0.167
2026-04-10 01:00:00+00:00,0.166
2026-04-10 13:00:00+00:00,0.1657
2026-04-11 01:00:00+00:00,0.162
2026-04-11 13:00:00+00:00,0.1594
2026-04-12 01:00:00+00:00,0.162
2026-04-12 13:00:00+00:00,0.1619
2026-04-13 01:00:00+00:00,0.162
2026-04-13 13:00:00+00:00,0.1618
2026-04-14 01:00:00+00:00,0.162
2026-04-14 13:00:00+00:00,0.162
2026-04-15 01:00:00+00:00,0.162
2026-04-15 13:00:00+00:00,0.162
2026-04-16 01:00:00+00:00,0.162
2026-04-16 13:00:00+00:00,0.162
2026-04-17 01:00:00+00:00,0.1624
2026-04-17 13:00:00+00:00,0.168
2026-04-18 01:00:00+00:00,0.1689
2026-04-18 13:00:00+00:00,0.1679
2026-04-19 01:00:00+00:00,0.168
2026-04-19 13:00:00+00:00,0.1696
2026-04-20 01:00:00+00:00,0.1698
2026-04-20 13:00:00+00:00,0.1703
2026-04-21 01:00:00+00:00,0.1756
2026-04-21 13:00:00+00:00,0.1711
2026-04-22 01:00:00+00:00,0.171
2026-04-22 13:00:00+00:00,0.175
2026-04-23 01:00:00+00:00,0.1745
2026-04-23 13:00:00+00:00,0.1752
2026-04-24 01:00:00+00:00,0.173
2026-04-24 13:00:00+00:00,0.178
2026-04-25 01:00:00+00:00,0.176
2026-04-25 13:00:00+00:00,0.173
2026-04-26 01:00:00+00:00,0.175
2026-04-26 13:00:00+00:00,0.176
2026-04-27 01:00:00+00:00,0.178
2026-04-27 13:00:00+00:00,0.1773
2026-04-28 01:00:00+00:00,0.169
