timestamp,yes_price
2026-04-06 01:00:00+00:00,0.19
2026-04-06 13:00:00+00:00,0.184
2026-04-07 01:00:00+00:00,0.1878
2026-04-07 13:00:00+00:00,0.178
2026-04-08 01:00:00+00:00,0.1677
2026-04-08 13:00:00+00:00,0.169
2026-04-09 01:00:00+00:00,0.1679
2026-04-09 13:00:00+00:00,0.1691
2026-04-10 01:00:00+00:00,0.1691
2026-04-10 13:00:00+00:00,0.1778
2026-04-11 01:00:00+00:00,0.165
2026-04-11 13:00:00+00:00,0.1692
2026-04-12 01:00:00+00:00,0.1687
2026-04-12 13:00:00+00:00,0.1797
2026-04-13 01:00:00+00:00,0.1773
2026-04-13 13:00:00+00:00,0.1688
2026-04-14 01:00:00+00:00,0.1752
2026-04-14 13:00:00+00:00,0.1783
2026-04-15 01:00:00+00:00,0.1699
2026-04-15 13:00:00+00:00,0.1666
2026-04-16 01:00:00+00:00,0.1698
2026-04-16 13:00:00+00:00,0.1678
2026-04-17 01:00:00+00:00,0.1712
2026-04-17 13:00:00+00:00,0.1681
2026-04-18 01:00:00+00:00,0.1672
2026-04-18 13:00:00+00:00,0.1695
2026-04-19 01:00:00+00:00,0.1697
2026-04-19 13:00:00+00:00,0.1669
2026-04-20 01:00:00+00:00,0.1649
2026-04-20 13:00:00+00:00,0.1685
2026-04-21 01:00:00+00:00,0.17
2026-04-21 13:00:00+00:00,0.168
2026-04-22 01:00:00+00:00,0.1225
2026-04-22 13:00:00+00:00,0.1115
2026-04-23 01:00:00+00:00,0.1199
2026-04-23 13:00:00+00:00,0.125
2026-04-24 01:00:00+00:00,0.129
2026-04-24 13:00:00+00:00,0.1298
2026-04-25 01:00:00+00:00,0.1392
2026-04-25 13:00:00+00:00,0.1354
2026-04-26 01:00:00+00:00,0.14
2026-04-26 13:00:00+00:00,0.1497
