timestamp,yes_price
2026-03-01 04:00:00+00:00,0.33
2026-03-01 16:00:00+00:00,0.3005
2026-03-02 04:00:00+00:00,0.33
2026-03-02 16:00:00+00:00,0.3
2026-03-03 04:00:00+00:00,0.3
2026-03-04 16:00:00+00:00,0.3202
2026-03-05 04:00:00+00:00,0.33
2026-03-05 16:00:00+00:00,0.3
2026-03-06 04:00:00+00:00,0.3223
2026-03-06 16:00:00+00:00,0.32
2026-03-07 04:00:00+00:00,0.34
2026-03-07 16:00:00+00:00,0.32
2026-03-08 04:00:00+00:00,0.3
2026-03-08 16:00:00+00:00,0.3
2026-03-09 04:00:00+00:00,0.2975
2026-03-09 16:00:00+00:00,0.31
2026-03-10 04:00:00+00:00,0.28
2026-03-10 16:00:00+00:00,0.32
2026-03-11 04:00:00+00:00,0.29
2026-03-12 16:00:00+00:00,0.285
2026-03-13 04:00:00+00:00,0.32
2026-03-13 16:00:00+00:00,0.32
2026-03-14 16:00:00+00:00,0.29
2026-03-15 04:00:00+00:00,0.29
2026-03-15 16:00:00+00:00,0.29
2026-03-16 16:00:00+00:00,0.29
2026-03-17 04:00:00+00:00,0.3
2026-03-17 16:00:00+00:00,0.26
2026-03-18 04:00:00+00:00,0.214
2026-03-18 16:00:00+00:00,0.23
2026-03-19 04:00:00+00:00,0.24
2026-03-19 16:00:00+00:00,0.21
2026-03-20 04:00:00+00:00,0.22
2026-03-20 16:00:00+00:00,0.21
2026-03-21 16:00:00+00:00,0.24
2026-03-22 04:00:00+00:00,0.21
2026-03-22 16:00:00+00:00,0.25
2026-03-23 04:00:00+00:00,0.25
2026-03-23 16:00:00+00:00,0.23
2026-03-24 04:00:00+00:00,0.25
2026-03-24 16:00:00+00:00,0.2842
2026-03-25 04:00:00+00:00,0.23
2026-03-25 16:00:00+00:00,0.212
2026-03-26 04:00:00+00:00,0.2756
2026-03-26 16:00:00+00:00,0.2636
2026-03-27 04:00:00+00:00,0.2895
2026-03-27 16:00:00+00:00,0.22
2026-03-28 16:00:00+00:00,0.28
2026-03-29 04:00:00+00:00,0.24
2026-03-29 16:00:00+00:00,0.21
2026-03-30 16:00:00+00:00,0.26
2026-03-31 04:00:00+00:00,0.22
2026-03-31 16:00:00+00:00,0.25
2026-04-01 16:00:00+00:00,0.22
2026-04-02 04:00:00+00:00,0.1585
2026-04-02 16:00:00+00:00,0.18
2026-04-03 04:00:00+00:00,0.21
2026-04-04 04:00:00+00:00,0.21
2026-04-05 04:00:00+00:00,0.2287
2026-04-05 16:00:00+00:00,0.2
2026-04-06 04:00:00+00:00,0.22
2026-04-06 16:00:00+00:00,0.2468
2026-04-07 04:00:00+00:00,0.203
2026-04-07 16:00:00+00:00,0.25
2026-04-08 04:00:00+00:00,0.2316
2026-04-08 16:00:00+00:00,0.25
2026-04-09 04:00:00+00:00,0.25
2026-04-09 16:00:00+00:00,0.2014
2026-04-10 16:00:00+00:00,0.2
2026-04-11 16:00:00+00:00,0.2068
2026-04-12 04:00:00+00:00,0.2
2026-04-12 16:00:00+00:00,0.21
2026-04-13 04:00:00+00:00,0.2
2026-04-13 16:00:00+00:00,0.22
2026-04-14 04:00:00+00:00,0.18
2026-04-14 16:00:00+00:00,0.187
2026-04-15 04:00:00+00:00,0.2
2026-04-15 16:00:00+00:00,0.1845
2026-04-16 04:00:00+00:00,0.17
2026-04-16 16:00:00+00:00,0.2591
2026-04-17 04:00:00+00:00,0.26
2026-04-17 16:00:00+00:00,0.2125
2026-04-18 04:00:00+00:00,0.19
2026-04-18 16:00:00+00:00,0.1679
2026-04-19 04:00:00+00:00,0.17
2026-04-19 16:00:00+00:00,0.1888
2026-04-20 04:00:00+00:00,0.2
2026-04-20 16:00:00+00:00,0.96
2026-04-21 04:00:00+00:00,0.9652
2026-04-21 16:00:00+00:00,0.9729
2026-04-22 04:00:00+00:00,0.94
2026-04-22 16:00:00+00:00,0.97
2026-04-23 04:00:00+00:00,0.98
2026-04-23 16:00:00+00:00,0.96
2026-04-24 04:00:00+00:00,0.97
2026-04-24 16:00:00+00:00,0.9897
2026-04-25 04:00:00+00:00,0.99
2026-04-25 16:00:00+00:00,0.98
2026-04-26 04:00:00+00:00,0.98
2026-04-26 16:00:00+00:00,0.98
2026-04-27 04:00:00+00:00,0.9792
2026-04-27 16:00:00+00:00,0.9607
