timestamp,yes_price
2026-01-09 01:00:00+00:00,0.05
2026-01-09 13:00:00+00:00,0.05
2026-01-10 01:00:00+00:00,0.05
2026-01-10 13:00:00+00:00,0.04
2026-01-11 01:00:00+00:00,0.04
2026-01-11 13:00:00+00:00,0.04
2026-01-12 01:00:00+00:00,0.04
2026-01-12 13:00:00+00:00,0.0686
2026-01-13 01:00:00+00:00,0.0859
2026-01-13 13:00:00+00:00,0.0749
2026-01-14 01:00:00+00:00,0.0625
2026-01-14 13:00:00+00:00,0.0655
2026-01-15 01:00:00+00:00,0.0787
2026-01-15 13:00:00+00:00,0.07
2026-01-16 01:00:00+00:00,0.07
2026-01-16 13:00:00+00:00,0.0698
2026-01-17 01:00:00+00:00,0.0832
2026-01-17 13:00:00+00:00,0.1838
2026-01-18 01:00:00+00:00,0.1645
2026-01-18 13:00:00+00:00,0.1933
2026-01-19 01:00:00+00:00,0.18
2026-01-19 13:00:00+00:00,0.1505
2026-01-20 01:00:00+00:00,0.2086
2026-01-20 13:00:00+00:00,0.2455
2026-01-21 01:00:00+00:00,0.2575
2026-01-21 13:00:00+00:00,0.2821
2026-01-22 01:00:00+00:00,0.3267
2026-01-22 13:00:00+00:00,0.3203
2026-01-23 01:00:00+00:00,0.3402
2026-01-23 13:00:00+00:00,0.4883
2026-01-24 01:00:00+00:00,0.5552
2026-01-24 13:00:00+00:00,0.5229
2026-01-25 01:00:00+00:00,0.51
2026-01-25 13:00:00+00:00,0.4154
2026-01-26 01:00:00+00:00,0.4814
2026-01-26 13:00:00+00:00,0.4513
2026-01-27 01:00:00+00:00,0.509
2026-01-27 13:00:00+00:00,0.4795
2026-01-28 01:00:00+00:00,0.4813
2026-01-28 13:00:00+00:00,0.3438
2026-01-29 01:00:00+00:00,0.3729
2026-01-29 13:00:00+00:00,0.2851
2026-01-30 01:00:00+00:00,0.0179
2026-01-30 13:00:00+00:00,0.01
2026-01-31 01:00:00+00:00,0.01
2026-01-31 13:00:00+00:00,0.01
