timestamp,yes_price
2026-01-09 01:00:00+00:00,0.4049
2026-01-09 13:00:00+00:00,0.4187
2026-01-10 01:00:00+00:00,0.45
2026-01-10 13:00:00+00:00,0.448
2026-01-11 01:00:00+00:00,0.45
2026-01-11 13:00:00+00:00,0.4758
2026-01-12 01:00:00+00:00,0.4019
2026-01-12 13:00:00+00:00,0.3927
2026-01-13 01:00:00+00:00,0.3963
2026-01-13 13:00:00+00:00,0.4189
2026-01-14 01:00:00+00:00,0.413
2026-01-14 13:00:00+00:00,0.4296
2026-01-15 01:00:00+00:00,0.4535
2026-01-15 13:00:00+00:00,0.4222
2026-01-16 01:00:00+00:00,0.4371
2026-01-16 13:00:00+00:00,0.573
2026-01-17 01:00:00+00:00,0.5894
2026-01-17 13:00:00+00:00,0.5478
2026-01-18 01:00:00+00:00,0.544
2026-01-18 13:00:00+00:00,0.5538
2026-01-19 01:00:00+00:00,0.6183
2026-01-19 13:00:00+00:00,0.6201
2026-01-20 01:00:00+00:00,0.6185
2026-01-20 13:00:00+00:00,0.4428
2026-01-21 01:00:00+00:00,0.4999
2026-01-21 13:00:00+00:00,0.502
2026-01-22 01:00:00+00:00,0.4652
2026-01-22 13:00:00+00:00,0.4529
2026-01-23 01:00:00+00:00,0.4496
2026-01-23 13:00:00+00:00,0.3357
2026-01-24 01:00:00+00:00,0.2674
2026-01-24 13:00:00+00:00,0.2833
2026-01-25 01:00:00+00:00,0.28
2026-01-25 13:00:00+00:00,0.3022
2026-01-26 01:00:00+00:00,0.2903
2026-01-26 13:00:00+00:00,0.3
2026-01-27 01:00:00+00:00,0.2835
2026-01-27 13:00:00+00:00,0.3001
2026-01-28 01:00:00+00:00,0.2899
2026-01-28 13:00:00+00:00,0.2892
2026-01-29 01:00:00+00:00,0.3295
2026-01-29 13:00:00+00:00,0.4474
2026-01-30 01:00:00+00:00,0.9785
2026-01-30 13:00:00+00:00,0.9801
2026-01-31 01:00:00+00:00,0.9678
2026-01-31 13:00:00+00:00,0.97
