timestamp,yes_price
2026-04-06 01:00:00+00:00,0.15
2026-04-06 13:00:00+00:00,0.1396
2026-04-07 01:00:00+00:00,0.1592
2026-04-07 13:00:00+00:00,0.1599
2026-04-08 01:00:00+00:00,0.1581
2026-04-08 13:00:00+00:00,0.1587
2026-04-09 01:00:00+00:00,0.1484
2026-04-09 13:00:00+00:00,0.1447
2026-04-10 01:00:00+00:00,0.1504
2026-04-10 13:00:00+00:00,0.1558
2026-04-11 01:00:00+00:00,0.15
2026-04-11 13:00:00+00:00,0.1457
2026-04-12 01:00:00+00:00,0.15
2026-04-12 13:00:00+00:00,0.1375
2026-04-13 01:00:00+00:00,0.14
2026-04-13 13:00:00+00:00,0.1497
2026-04-14 01:00:00+00:00,0.15
2026-04-14 13:00:00+00:00,0.1488
2026-04-15 01:00:00+00:00,0.15
2026-04-15 13:00:00+00:00,0.1478
2026-04-16 01:00:00+00:00,0.1498
2026-04-16 13:00:00+00:00,0.148
2026-04-17 01:00:00+00:00,0.1398
2026-04-17 13:00:00+00:00,0.1343
2026-04-18 01:00:00+00:00,0.14
2026-04-18 13:00:00+00:00,0.1399
2026-04-19 01:00:00+00:00,0.1396
2026-04-19 13:00:00+00:00,0.1393
2026-04-20 01:00:00+00:00,0.1396
2026-04-20 13:00:00+00:00,0.1477
2026-04-21 01:00:00+00:00,0.15
2026-04-21 13:00:00+00:00,0.1499
2026-04-22 01:00:00+00:00,0.1389
2026-04-22 13:00:00+00:00,0.1369
2026-04-23 01:00:00+00:00,0.1384
2026-04-23 13:00:00+00:00,0.1259
2026-04-24 01:00:00+00:00,0.13
2026-04-24 13:00:00+00:00,0.1251
2026-04-25 01:00:00+00:00,0.1399
2026-04-25 13:00:00+00:00,0.1398
2026-04-26 01:00:00+00:00,0.1365
2026-04-26 13:00:00+00:00,0.149
