Market Name,Best Lag,Best Lag Corr,FinBERT ROI (Lag 0),FinBERT Acc (Lag 0),NB ROI (Lag 0),NB Acc (Lag 0),FinBERT ROI (Lag 1),FinBERT Acc (Lag 1),NB ROI (Lag 1),NB Acc (Lag 1),FinBERT ROI (Best Lag),FinBERT Acc (Best Lag),Error
Apple CEO,-3.0,0.7513,-33.1,0.2,34.1,0.4,76.21,0.6,239.35,0.6,372.29,0.6,
Celtics,-24.0,-0.4982,-7.67,0.5,9.6,0.7,-9.11,0.167,0.08,0.556,8.99,0.5,
Spurs,0.0,,0.0,0.0,-3.09,0.304,0.0,0.0,4.78,0.545,0.0,0.0,
OKC,-17.0,-0.3481,5.48,1.0,-9.44,0.417,0.38,0.5,-15.93,0.5,-0.91,0.5,
England,-17.0,-0.7208,-5.79,0.667,-6.16,0.375,-5.9,0.333,-4.34,0.333,0.0,0.0,
France,12.0,-0.3417,-5.29,0.111,5.4,0.421,-7.09,0.111,5.97,0.421,-1.07,0.429,
Spain,24.0,-0.2035,-0.79,0.312,0.91,0.417,-0.15,0.312,-1.59,0.348,-3.02,0.5,
Gas Price,,,,,,,,,,,,,No overlapping rows for lag analysis.
Jobless Claims,0.0,-0.7548,30.74,1.0,-8.16,0.0,24.68,1.0,-6.96,0.0,30.74,1.0,
