pubDate,title
2026-04-25 18:10:53,"Oklahoma City Thunder vs. Phoenix Suns: Where to watch the NBA playoffs game today, time, channel and more - Yahoo Sports"
2026-04-25 11:03:00,"What channel is Thunder vs Suns on TV today? Time, NBA schedule, injury report - The Oklahoman"
2026-04-28 17:38:41,“We train how we respond”: OKC Firefighters highlight underwater training - KFOR.com
2026-04-27 23:06:00,Community donates Thunder shirts to Moore 6th graders to help cheer on OKC’s playoff run - KOCO
2026-04-28 00:15:12,"Thunder depth, defense key as OKC eyes Game 4 sweep in Phoenix - News 9"
2026-04-28 00:08:44,1‑on‑1 with Aaron Wiggins - NBA
2026-04-28 04:25:14,FINAL: OKC Thunder take down Phoenix Suns in 4 games - News 9
2026-04-27 21:55:51,OKC Thunder playoff run sparks citywide pride - News 9
2026-04-28 06:30:57,"OKC 131, PHX 122: Shai Gilgeous-Alexander Postgame Media Availability - NBA"
2026-04-28 04:46:51,OKC vs. PHX Highlights - NBA
2026-04-28 03:48:33,Collin Gillespie gets the 3 to fall - NBA
2026-04-28 03:48:33,Ajay Mitchell connects from behind the arc - NBA
2026-04-28 03:48:33,Devin Booker with the slam - NBA
2026-04-28 03:48:33,3-pointer by Chet Holmgren - NBA
2026-04-28 03:48:33,Chet Holmgren throws it down - NBA
2026-04-28 03:44:20,Shai Gilgeous-Alexander drills the triple - NBA
2026-04-28 02:49:57,Royce O’Neale hits from way downtown - NBA
2026-04-28 02:49:55,Grayson Allen from deep! - NBA
2026-04-28 02:23:16,Chet Holmgren rises up for the dunk - NBA
2026-04-28 02:23:16,Collin Gillespie scores the first bucket of the game - NBA
2026-04-27 17:00:21,What happens to tributes left on Memorial chairs after OKC Marathon weekend? - News 9
2026-01-06 08:33:33,"Los Angeles Lakers vs Oklahoma City Thunder Apr 2, 2026 Game Summary - NBA"
2026-04-18 07:56:55,"Phoenix Suns vs Oklahoma City Thunder Apr 19, 2026 Game Summary - NBA"
2026-04-26 10:22:00,OKC Memorial Marathon Forecast - KOCO
2026-04-26 05:54:17,"OKC 121, PHX 109: Alex Caruso Postgame Media Availability - NBA"
2026-04-18 05:41:08,"Oklahoma City Thunder vs Phoenix Suns Apr 27, 2026 Game Summary - NBA"
2026-04-18 05:18:12,"Thunder 120-107 Suns (Apr 22, 2026) Final Score - ESPN"
2026-04-27 15:51:59,"Oklahoma City Thunder vs Phoenix Suns | April 28, 2026 | NBA Matchup - theScore"
2026-04-26 00:58:15,"Thunder vs. Suns (Apr 27, 2026) Live Odds, Player Props, and more - ESPN"
2026-04-25 07:00:00,"Thunder 131-122 Suns (28 Apr, 2026) Final Score - ESPN Philippines"
2026-04-28 04:34:38,SGA praises 'ultimate competitor' and fellow Canadian Brooks after OKC eliminated Suns - TSN
2026-04-28 14:39:30,Chet Holmgren Helps Thunder Punch Their Ticket To The Second Round - Sports Illustrated
2026-04-26 16:32:00,"Jaci Smith wins OKC Memorial half marathon, sets new course record - The Oklahoman"
2026-04-26 22:52:17,"Victor Wembanyama, Spurs suffocate Blazers in second half to take 3-1 series lead: Takeaways - The New York Times"
2026-04-27 06:21:28,"4 takeaways: Reed Sheppard heats up, LeBron James struggles, Kevin Durant still injured - NBA"
2026-04-27 00:32:20,4 takeaways: Victor Wembanyama returns and De'Aaron Fox keys dominant 2nd half in Game 4 - NBA
2026-04-25 04:55:29,4 takeaways: Celtics-76ers Game 3 ends with Jayson Tatum dagger as Boston reclaims homecourt - NBA
2026-04-24 07:27:35,"4 takeaways: Nuggets-Wolves Game 3 leaves Denver in a familiar, precarious position - NBA"
2026-04-25 04:37:29,4 takeaways: Lakers-Rockets Game 3 leaves Houston on the brink of elimination - NBA
2026-04-21 08:26:26,Timberwolves-Nuggets Game 2: Wolves claw back on the road - NBA
2026-04-24 05:48:59,4 takeaways: Cavaliers-Raptors Game 3 ends in a flurry - NBA
2026-04-18 07:00:00,Rockets-Lakers Game 1: Luke Kennard steps up for short-handed L.A. - NBA
2026-04-22 04:44:48,4 takeaways: Scoot Henderson emerges while the Spurs stumble without Victor Wembanyama - NBA
2026-04-21 12:30:54,Are the Lakers and Knicks true contenders? 7 metrics that tell us the most about the NBA title race - The Athletic - The New York Times
